Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
533138,ASTEC,Astec Lifesciences Ltd,Active,B ,10,INE563J01010,Pesticides & Agrochemicals,Equity,Commodities,Chemicals
533146,DLINKINDIA,D-Link (India) Ltd,Active,B ,2,INE250K01012,Computers Hardware & Equipments,Equity,Information Technology,Information Technology
533148,JSWENERGY,JSW Energy Ltd,Active,A ,10,INE121E01018,Power Generation,Equity,Utilities,Power
533149,YUNIKM,Yunik Managing Advisors Ltd,Active,X ,10,INE143K01019,Other Financial Services,Equity,Financial Services,Financial Services
533150,GODREJPROP,Godrej Properties Ltd,Active,A ,5,INE484J01027,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
533151,DBCORP,D. B. Corp Ltd,Active,B ,10,INE950I01011,Print Media,Equity,Consumer Discretionary,"Media, Entertainment & Publication"
533152,MBLINFRA,MBL Infrastructure Ltd,Active,B ,10,INE912H01013,Civil Construction,Equity,Industrials,Construction
533155,JUBLFOOD,Jubilant FoodWorks Ltd,Active,A ,2,INE797F01020,Restaurants,Equity,Consumer Discretionary,Consumer Services
533156,VASCONEQ,Vascon Engineers Ltd,Active,B ,10,INE893I01013,Civil Construction,Equity,Industrials,Construction
533158,THANGAMAYL,Thangamayil Jewellery Ltd,Active,B ,10,INE085J01014,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables
533160,DBREALTY,Valor Estate Ltd,Active,A ,10,INE879I01012,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
533161,EMMBI,Emmbi Industries Ltd,Active,B ,10,INE753K01015,Packaging,Equity,Industrials,Capital Goods
533162,HATHWAY,Hathway Cable & Datacom Ltd,Active,B ,2,INE982F01036,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication"
533163,ARSSINFRA,ARSS Infrastructure Projects Ltd,Active,T ,10,INE267I01010,Civil Construction,Equity,Industrials,Construction
533164,TEXMOPIPES,Texmo Pipes and Products Ltd,Active,B ,10,INE141K01013,Plastic Products - Industrial,Equity,Industrials,Capital Goods
533166,SUNDARAM,Sundaram Multi Pap Ltd,Active,B ,1,INE108E01023,Stationary,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
533168,ROSSELLIND,Rossell India Ltd,Active,T ,2,INE847C01020,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
533169,MANINFRA,Man Infraconstruction Ltd,Active,A ,2,INE949H01023,Civil Construction,Equity,Industrials,Construction
533170,TAMBOLIIN,Tamboli Industries Ltd,Active,X ,10,INE864J01012,Holding Company,Equity,Financial Services,Financial Services
